2026-06-12T12:09:12Z - INFO - waitress - Serving on http://0.0.0.0:5010 None
2026-06-12T12:56:55Z - WARNING - django.request - Not Found: / None
2026-06-12T12:56:55Z - WARNING - django.request - Not Found: /favicon.ico None
2026-06-12T12:57:23Z - WARNING - django.request - Not Found: / None
2026-06-12T13:00:00Z - INFO - patients_excel_report.patient_reader_report_view - CheckSignatureFilePath called with path: C:\Users\kartik-venture7\Downloads\Test_11_06_2026\Detroit-Wayne Integrated Health Network (ECM)_2026-06-08_16-39-38 1.xlsx None
2026-06-12T13:00:00Z - DEBUG - patients_excel_report.patient_reader_report_view - Temp file saved: /tmp/patient_signature_files\ps_347b71da753f453e9a5a813afb3e3eed.xlsx None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'eXIf' 54 120 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'pHYs' 186 9 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'iDOT' 207 28 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - b'iDOT' 207 28 (unknown) None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'IDAT' 247 4891 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'eXIf' 54 120 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'pHYs' 186 9 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'iDOT' 207 28 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'IHDR' 16 13 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - b'iDOT' 207 28 (unknown) None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
2026-06-12T13:00:02Z - DEBUG - PIL.PngImagePlugin - STREAM b'sRGB' 41 1 None
